iter	Passed	Remaining
1243	46120	324624
1244	46156	324578
1245	46191	324528
1246	46227	324485
1247	46265	324452
1248	46302	324413
1249	46336	324354
1250	46372	324310
1251	46410	324280
1252	46446	324233
1253	46481	324186
1254	46517	324141
1255	46553	324096
1256	46589	324050
1257	46628	324025
1258	46663	323972
1259	46699	323928
1260	46733	323875
1261	46768	323821
1262	46804	323775
1263	46841	323738
1264	46876	323689
1265	46913	323649
1266	46948	323598
1267	46983	323550
1268	47018	323496
1269	47054	323451
1270	47088	323395
1271	47132	323409
1272	47168	323361
1273	47203	323309
1274	47237	323255
1275	47275	323221
1276	47309	323162
1277	47343	323108
1278	47380	323068
1279	47418	323037
1280	47454	322993
1281	47489	322943
1282	47524	322892
1283	47559	322842
1284	47596	322806
1285	47634	322773
1286	47672	322740
1287	47708	322699
1288	47744	322654
1289	47771	322552
1290	47807	322509
1291	47844	322468
1292	47882	322437
1293	47919	322404
1294	47955	322354
1295	47989	322302
1296	48027	322269
1297	48061	322214
1298	48096	322161
1299	48133	322124
1300	48169	322081
1301	48206	322041
1302	48242	321996
1303	48279	321960
1304	48315	321916
1305	48350	321864
1306	48386	321821
1307	48422	321781
1308	48456	321724
1309	48494	321690
1310	48530	321649
1311	48565	321601
1312	48601	321554
1313	48637	321510
1314	48672	321460
1315	48713	321449
1316	48751	321416
1317	48785	321362
1318	48822	321323
1319	48857	321276
1320	48892	321226
1321	48928	321178
1322	48964	321137
1323	48999	321085
1324	49034	321038
1325	49069	320986
1326	49104	320935
1327	49140	320891
1328	49174	320834
1329	49212	320808
1330	49248	320763
1331	49287	320739
1332	49323	320692
1333	49359	320653
1334	49396	320613
1335	49432	320573
1336	49467	320524
1337	49503	320479
1338	49537	320422
1339	49572	320370
1340	49608	320327
1341	49645	320290
1342	49681	320244
1343	49718	320209
1344	49756	320181
1345	49792	320134
1346	49827	320086
1347	49863	320043
1348	49897	319989
1349	49932	319937
1350	49968	319894
1351	50007	319869
1352	50045	319841
1353	50085	319825
1354	50124	319796
1355	50162	319766
1356	50201	319743
1357	50238	319708
1358	50277	319684
1359	50319	319676
1360	50356	319637
1361	50395	319613
1362	50435	319595
1363	50473	319569
1364	50512	319539
1365	50551	319515
1366	50589	319486
1367	50629	319466
1368	50670	319458
1369	50705	319409
1370	50740	319357
1371	50777	319320
1372	50813	319279
1373	50848	319226
1374	50882	319171
1375	50916	319117
1376	50951	319069
1377	50986	319019
1378	51022	318976
1379	51058	318930
1380	51094	318888
1381	51129	318837
1382	51168	318811
1383	51202	318760
1384	51240	318729
1385	51277	318689
1386	51313	318645
1387	51349	318601
1388	51386	318569
1389	51422	318520
1390	51458	318478
1391	51493	318429
1392	51528	318384
1393	51565	318342
1394	51598	318285
1395	51633	318235
1396	51666	318172
1397	51701	318122
1398	51737	318078
1399	51772	318028
1400	51807	317981
1401	51847	317963
1402	51882	317917
1403	51918	317869
1404	51951	317811
1405	51988	317776
1406	52024	317731
1407	52062	317697
1408	52097	317649
1409	52131	317597
1410	52169	317564
1411	52206	317526
1412	52243	317489
1413	52278	317442
1414	52314	317397
1415	52352	317370
1416	52388	317326
1417	52423	317274
1418	52457	317220
1419	52492	317170
1420	52526	317120
1421	52562	317075
1422	52598	317030
1423	52634	316987
1424	52669	316943
1425	52705	316897
1426	52742	316862
1427	52777	316810
1428	52813	316769
1429	52847	316712
1430	52884	316679
1431	52920	316633
1432	52955	316586
1433	52990	316541
1434	53027	316499
1435	53061	316449
1436	53099	316417
1437	53133	316359
1438	53170	316326
1439	53205	316277
1440	53241	316233
1441	53275	316181
1442	53311	316139
1443	53347	316095
1444	53384	316056
1445	53421	316019
1446	53457	315977
1447	53493	315935
1448	53528	315888
1449	53564	315844
1450	53600	315805
1451	53637	315768
1452	53672	315717
1453	53708	315674
1454	53743	315627
1455	53780	315588
1456	53816	315545
1457	53852	315503
1458	53887	315456
1459	53924	315419
1460	53960	315376
1461	53995	315330
1462	54032	315295
1463	54068	315250
1464	54102	315200
1465	54138	315155
1466	54173	315105
1467	54208	315059
1468	54243	315010
1469	54278	314961
1470	54314	314918
1471	54348	314867
1472	54383	314819
1473	54420	314781
1474	54456	314742
1475	54492	314696
1476	54527	314652
1477	54563	314607
1478	54598	314558
1479	54635	314525
1480	54672	314484
1481	54708	314447
1482	54744	314404
1483	54782	314369
1484	54817	314323
1485	54853	314284
1486	54889	314240
1487	54925	314197
1488	54960	314151
1489	54996	314107
1490	55030	314056
1491	55065	314006
1492	55098	313948
1493	55134	313906
1494	55170	313860
1495	55206	313818
1496	55243	313782
1497	55279	313743
1498	55314	313695
1499	55350	313651
1500	55384	313601
1501	55419	313554
1502	55453	313499
1503	55490	313462
1504	55526	313421
1505	55563	313381
1506	55599	313339
1507	55637	313308
1508	55672	313261
1509	55707	313216
1510	55743	313175
1511	55778	313127
1512	55815	313088
1513	55850	313044
1514	55885	312997
1515	55923	312966
1516	55959	312922
1517	55996	312884
1518	56032	312843
1519	56066	312789
1520	56102	312748
1521	56139	312712
1522	56175	312671
1523	56212	312636
1524	56247	312589
1525	56281	312535
1526	56315	312485
1527	56351	312438
1528	56386	312396
1529	56421	312344
1530	56455	312291
1531	56490	312248
1532	56526	312203
1533	56560	312154
1534	56596	312108
1535	56632	312069
1536	56667	312023
1537	56701	311968
1538	56737	311929
1539	56773	311884
1540	56808	311838
1541	56845	311801
1542	56881	311761
1543	56916	311711
1544	56952	311669
1545	56987	311627
1546	57022	311577
1547	57058	311536
1548	57092	311486
1549	57129	311446
1550	57168	311422
1551	57202	311372
1552	57238	311330
1553	57273	311280
1554	57307	311231
1555	57342	311184
1556	57378	311138
1557	57413	311095
1558	57448	311045
1559	57483	311002
1560	57519	310960
1561	57554	310912
1562	57591	310877
1563	57628	310837
1564	57662	310787
1565	57695	310728
1566	57729	310680
1567	57764	310632
1568	57800	310591
1569	57834	310539
1570	57869	310490
1571	57903	310438
1572	57937	310386
1573	57974	310350
1574	58008	310297
1575	58044	310258
1576	58072	310175
1577	58104	310110
1578	58144	310093
1579	58179	310045
1580	58215	310003
1581	58250	309960
1582	58288	309925
1583	58322	309877
1584	58358	309833
1585	58393	309789
1586	58429	309745
1587	58466	309710
1588	58501	309663
1589	58537	309625
1590	58573	309583
1591	58609	309540
1592	58645	309499
1593	58680	309454
1594	58716	309414
1595	58754	309379
1596	58790	309339
1597	58826	309297
1598	58862	309259
1599	58898	309216
1600	58932	309167
1601	58968	309124
1602	59003	309079
1603	59038	309034
1604	59075	308996
1605	59110	308952
1606	59146	308910
1607	59182	308867
1608	59219	308833
1609	59255	308788
1610	59290	308743
1611	59324	308695
1612	59360	308651
1613	59396	308610
1614	59431	308563
1615	59465	308516
1616	59502	308479
1617	59537	308432
1618	59572	308387
1619	59608	308346
1620	59645	308310
1621	59683	308277
1622	59719	308239
1623	59756	308200
1624	59791	308155
1625	59826	308108
1626	59862	308071
1627	59899	308033
1628	59935	307991
1629	59969	307941
1630	60003	307892
1631	60040	307856
1632	60075	307806
1633	60110	307760
1634	60146	307724
1635	60182	307683
1636	60219	307646
1637	60256	307611
1638	60292	307570
1639	60328	307529
1640	60362	307479
1641	60397	307433
1642	60432	307385
1643	60467	307339
1644	60504	307302
1645	60539	307257
1646	60573	307206
1647	60607	307158
1648	60645	307123
1649	60680	307077
1650	60717	307044
1651	60753	307002
1652	60788	306956
1653	60823	306910
1654	60858	306865
1655	60894	306824
1656	60930	306784
1657	60965	306737
1658	61000	306692
1659	61034	306642
1660	61070	306602
1661	61107	306566
